2026-03-03 16:38:57 | INFO     | __main__:executer_acquisition:196 - ============================================================
2026-03-03 16:38:57 | INFO     | __main__:executer_acquisition:197 - 🌍 DEBUT ACQUISITION DONNEES
2026-03-03 16:38:57 | INFO     | __main__:executer_acquisition:198 - ============================================================
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:61 - 🐦 Téléchargement Hirondelle rustique...
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:106 -   ✓ 0 observations téléchargées pour Hirondelle rustique
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:61 - 🐦 Téléchargement Cigogne blanche...
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:106 -   ✓ 0 observations téléchargées pour Cigogne blanche
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:61 - 🐦 Téléchargement Martinet noir...
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:106 -   ✓ 0 observations téléchargées pour Martinet noir
2026-03-03 16:38:57 | INFO     | __main__:telecharger_observations_espece:61 - 🐦 Téléchargement Bergeronnette printanière...
2026-03-03 16:38:58 | INFO     | __main__:telecharger_observations_espece:106 -   ✓ 0 observations téléchargées pour Bergeronnette printanière
2026-03-03 16:38:58 | INFO     | __main__:executer_acquisition:217 - ✓ Données GBIF sauvegardées : C:\Users\Administrateur\Documents\Projet_RNCP\oiseaux_migrateurs_npdc\donnees\brutes\observations_gbif.csv
2026-03-03 16:38:58 | INFO     | __main__:executer_acquisition:219 - ============================================================
2026-03-03 16:38:58 | INFO     | __main__:executer_acquisition:220 - ✓ ACQUISITION TERMINEE
2026-03-03 16:38:58 | INFO     | __main__:executer_acquisition:221 - ============================================================
